LGA19_source,LGA19_target,date,time,region,n_trips
10500,17150,3/1/21,800,NSW,495.2682157
10500,17150,3/1/21,1600,NSW,463.826004
10500,17200,1/1/21,0,NSW,855.2520731
10500,17200,1/1/21,800,NSW,913.8563771
10500,17200,1/1/21,1600,NSW,843.6176293
10500,17200,2/1/21,0,NSW,895.8054253
10500,17200,2/1/21,800,NSW,953.9230818
10500,17200,2/1/21,1600,NSW,859.1471523
10500,17200,3/1/21,0,NSW,898.8464729
10500,17200,3/1/21,800,NSW,952.1405596
10500,17200,3/1/21,1600,NSW,966.4890942
10500,17420,1/1/21,0,NSW,8.198840488
10500,17420,1/1/21,800,NSW,9.361918725
10500,17420,1/1/21,1600,NSW,2.852492693
10500,17420,2/1/21,0,NSW,9.904553516
10500,17420,2/1/21,800,NSW,13.03901061
10500,17420,2/1/21,1600,NSW,2.865114087
10500,17420,3/1/21,0,NSW,5.024784487
10500,17420,3/1/21,800,NSW,6.120793243
10500,17420,3/1/21,1600,NSW,9.031619407
10500,18050,1/1/21,0,NSW,279.9334733
10500,18050,1/1/21,800,NSW,299.3579878
10500,18050,1/1/21,1600,NSW,276.2292498
10500,18050,2/1/21,0,NSW,292.9598411
10500,18050,2/1/21,800,NSW,312.3126912
10500,18050,2/1/21,1600,NSW,281.4231431
10500,18050,3/1/21,0,NSW,294.099685
10500,18050,3/1/21,800,NSW,311.8919225
10500,18050,3/1/21,1600,NSW,315.8360547
10500,18250,1/1/21,0,NSW,25.15227134
10500,18250,1/1/21,800,NSW,18.60383398
10500,18250,1/1/21,1600,NSW,20.66075898
10500,18250,2/1/21,0,NSW,34.24849474
10500,18250,2/1/21,800,NSW,24.88444722
10500,18250,2/1/21,1600,NSW,17.89684852
10500,18250,3/1/21,0,NSW,29.93796853
10500,18250,3/1/21,800,NSW,20.29364764
10500,18250,3/1/21,1600,NSW,43.8691161
10500,18400,1/1/21,800,NSW,0.017137984
10500,18450,1/1/21,0,NSW,2.696539164
10500,18450,1/1/21,800,NSW,1.595127149
10500,18450,2/1/21,0,NSW,3.447127281
10500,18450,2/1/21,800,NSW,1.872540566
10500,18450,3/1/21,0,NSW,1.040300315
10500,18450,3/1/21,800,NSW,1.179007023
10500,18500,1/1/21,0,NSW,194.7580159
10500,18500,1/1/21,800,NSW,206.9334353
10500,18500,1/1/21,1600,NSW,191.6079133
10500,18500,2/1/21,0,NSW,205.1845534
10500,18500,2/1/21,800,NSW,216.826731
10500,18500,2/1/21,1600,NSW,194.6096032
10500,18500,3/1/21,0,NSW,205.1805405
10500,18500,3/1/21,800,NSW,215.636575
10500,18500,3/1/21,1600,NSW,222.5308967
10550,10550,1/1/21,0,NSW,1965.561687
10550,10550,1/1/21,800,NSW,2065.502963
10550,10550,1/1/21,1600,NSW,1976.149773
10550,10550,2/1/21,0,NSW,1793.296159
10550,10550,2/1/21,800,NSW,1938.237435
10550,10550,2/1/21,1600,NSW,1898.178711
10550,10550,3/1/21,0,NSW,1785.942969
10550,10550,3/1/21,800,NSW,1889.502116
10550,10550,3/1/21,1600,NSW,1767.296159
10550,12750,1/1/21,0,NSW,14.05166919
10550,12750,1/1/21,800,NSW,14.5404229
10550,12750,1/1/21,1600,NSW,13.31853862
10550,12750,2/1/21,0,NSW,10.01945107
10550,12750,2/1/21,800,NSW,10.50820479
10550,12750,2/1/21,1600,NSW,10.9969585
10550,12750,3/1/21,0,NSW,8.797566797
10550,12750,3/1/21,800,NSW,10.38601636
10550,12750,3/1/21,1600,NSW,10.01945107
10600,10600,1/1/21,0,NSW,465.5546038
10600,10600,1/1/21,800,NSW,519.6881837
10600,10600,1/1/21,1600,NSW,525.4607585
10600,10600,2/1/21,0,NSW,468.9872662
10600,10600,2/1/21,800,NSW,482.5769883
10600,10600,2/1/21,1600,NSW,508.6297136
10600,10600,3/1/21,0,NSW,450.437881
10600,10600,3/1/21,800,NSW,463.2021304
10600,10600,3/1/21,1600,NSW,493.7022662
10600,11800,1/1/21,0,NSW,37.08747399
10600,11800,1/1/21,800,NSW,39.51750895
10600,11800,1/1/21,1600,NSW,36.63218972
10600,11800,2/1/21,0,NSW,30.09908198
10600,11800,2/1/21,800,NSW,31.11289619
10600,11800,2/1/21,1600,NSW,32.22336072
10600,11800,3/1/21,0,NSW,27.89417934
10600,11800,3/1/21,800,NSW,31.05510359
10600,11800,3/1/21,1600,NSW,28.66166823
10600,15700,1/1/21,0,NSW,6.767669453
10600,15700,1/1/21,800,NSW,7.437256965
10600,15700,1/1/21,1600,NSW,7.559654414
10600,15700,2/1/21,0,NSW,6.76047254
10600,15700,2/1/21,800,NSW,7.178068243
10600,15700,2/1/21,1600,NSW,7.466119527
10600,15700,3/1/21,0,NSW,6.393330136
10600,15700,3/1/21,800,NSW,7.185290126
10600,15700,3/1/21,1600,NSW,6.832491604
10650,10650,1/1/21,0,NSW,1186.731404
10650,10650,1/1/21,0,VIC,0
10650,10650,1/1/21,800,NSW,1313.74992
10650,10650,1/1/21,800,VIC,0
10650,10650,1/1/21,1600,NSW,1183.759179
10650,10650,1/1/21,1600,VIC,0
10650,10650,2/1/21,0,NSW,1118.648079
